,data,domain,cat
9419,sketch/horse/n02374451_2478-1.png,sketch,horse
738,art_painting/giraffe/pic_217.jpg,art_painting,giraffe
5609,photo/house/pic_269.jpg,photo,house
8329,sketch/guitar/7602.png,sketch,guitar
2673,cartoon/elephant/pic_237.jpg,cartoon,elephant
3725,cartoon/house/pic_032.jpg,cartoon,house
8968,sketch/horse/8513.png,sketch,horse
9635,sketch/horse/n02374451_777-4.png,sketch,horse
4228,cartoon/person/pic_265.jpg,cartoon,person
7490,sketch/elephant/n02503517_8571-4.png,sketch,elephant
1012,art_painting/guitar/pic_106.jpg,art_painting,guitar
4565,photo/dog/n02109525_12875.jpg,photo,dog
5266,photo/horse/105_0241.jpg,photo,horse
1268,art_painting/horse/pic_192.jpg,art_painting,horse
3711,cartoon/house/pic_013.jpg,cartoon,house
294,art_painting/dog/pic_318.jpg,art_painting,dog
1240,art_painting/horse/pic_155.jpg,art_painting,horse
597,art_painting/elephant/pic_221.jpg,art_painting,elephant
5740,photo/person/253_0093.jpg,photo,person
530,art_painting/elephant/pic_150.jpg,art_painting,elephant
9938,sketch/person/12186.png,sketch,person
3759,cartoon/house/pic_080.jpg,cartoon,house
5024,photo/guitar/063_0077.jpg,photo,guitar
6447,sketch/dog/n02103406_6857-8.png,sketch,dog
8613,sketch/guitar/n02676566_8997-2.png,sketch,guitar
1395,art_painting/house/pic_106.jpg,art_painting,house
9092,sketch/horse/n02374451_11483-4.png,sketch,horse
6029,photo/person/253_0402.jpg,photo,person
1574,art_painting/house/pic_311.jpg,art_painting,house
3247,cartoon/guitar/pic_009.jpg,cartoon,guitar
9394,sketch/horse/n02374451_2233-3.png,sketch,horse
5138,photo/guitar/n03272010_9899.jpg,photo,guitar
383,art_painting/elephant/pic_005.jpg,art_painting,elephant
2977,cartoon/giraffe/pic_095.jpg,cartoon,giraffe
3556,cartoon/horse/pic_196.jpg,cartoon,horse
39,art_painting/dog/pic_043.jpg,art_painting,dog
8259,sketch/giraffe/n02439033_8875-2.png,sketch,giraffe
6491,sketch/dog/n02103406_8280-4.png,sketch,dog
877,art_painting/giraffe/pic_264.jpg,art_painting,giraffe
2773,cartoon/elephant/pic_354.jpg,cartoon,elephant
9915,sketch/person/12169.png,sketch,person
3534,cartoon/horse/pic_169.jpg,cartoon,horse
9007,sketch/horse/8554.png,sketch,horse
3952,cartoon/house/pic_316.jpg,cartoon,house
6959,sketch/elephant/n02503517_10275-2.png,sketch,elephant
5852,photo/person/253_0211.jpg,photo,person
3837,cartoon/house/pic_173.jpg,cartoon,house
7223,sketch/elephant/n02503517_5117-3.png,sketch,elephant
9359,sketch/horse/n02374451_17384-7.png,sketch,horse
8185,sketch/giraffe/n02439033_3944-10.png,sketch,giraffe
484,art_painting/elephant/pic_223.jpg,art_painting,elephant
1756,art_painting/person/pic_178.jpg,art_painting,person
684,art_painting/giraffe/pic_054.jpg,art_painting,giraffe
8163,sketch/giraffe/n02439033_2486-3.png,sketch,giraffe
6642,sketch/dog/n02106662_24786-3.png,sketch,dog
1550,art_painting/house/pic_282.jpg,art_painting,house
5773,photo/person/253_0128.jpg,photo,person
1004,art_painting/guitar/pic_098.jpg,art_painting,guitar
2900,cartoon/giraffe/pic_007.jpg,cartoon,giraffe
7706,sketch/giraffe/n02439033_10541-3.png,sketch,giraffe
2995,cartoon/giraffe/pic_153.jpg,cartoon,giraffe
8236,sketch/giraffe/n02439033_866-2.png,sketch,giraffe
9220,sketch/horse/n02374451_13159-1.png,sketch,horse
1392,art_painting/house/pic_103.jpg,art_painting,house
380,art_painting/elephant/pic_002.jpg,art_painting,elephant
6275,sketch/dog/n02103406_3401-6.png,sketch,dog
8252,sketch/giraffe/n02439033_8846-4.png,sketch,giraffe
9711,sketch/horse/n02374451_925-4.png,sketch,horse
9453,sketch/horse/n02374451_14846-5.png,sketch,horse
1377,art_painting/house/pic_084.jpg,art_painting,house
1408,art_painting/house/pic_227.jpg,art_painting,house
4708,photo/elephant/n02503517_10439.jpg,photo,elephant
9648,sketch/horse/n02374451_8065-2.png,sketch,horse
8763,sketch/guitar/n03272010_6727-5.png,sketch,guitar
5229,photo/horse/105_0146.jpg,photo,horse
1116,art_painting/horse/pic_017.jpg,art_painting,horse
9239,sketch/horse/n02374451_1340-6.png,sketch,horse
8300,sketch/giraffe/n02439033_9604-1.png,sketch,giraffe
2496,cartoon/elephant/pic_066.jpg,cartoon,elephant
9683,sketch/horse/n02374451_8806-3.png,sketch,horse
4082,cartoon/person/pic_021.jpg,cartoon,person
3641,cartoon/horse/pic_298.jpg,cartoon,horse
2279,cartoon/dog/pic_259.jpg,cartoon,dog
2765,cartoon/elephant/pic_345.jpg,cartoon,elephant
7185,sketch/elephant/n02503517_4221-6.png,sketch,elephant
5548,photo/house/pic_200.jpg,photo,house
8243,sketch/giraffe/n02439033_8789-3.png,sketch,giraffe
5292,photo/horse/n02374451_12254.jpg,photo,horse
9570,sketch/horse/n02374451_490-2.png,sketch,horse
3914,cartoon/house/pic_269.jpg,cartoon,house
2302,cartoon/dog/pic_287.jpg,cartoon,dog
9052,sketch/horse/n02374451_10118-4.png,sketch,horse
8660,sketch/guitar/n02676566_9936-4.png,sketch,guitar
2757,cartoon/elephant/pic_336.jpg,cartoon,elephant
6443,sketch/dog/n02103406_6857-4.png,sketch,dog
579,art_painting/elephant/pic_201.jpg,art_painting,elephant
5523,photo/house/pic_173.jpg,photo,house
9137,sketch/horse/n02374451_12225-3.png,sketch,horse
1163,art_painting/horse/pic_075.jpg,art_painting,horse
7949,sketch/giraffe/n02439033_14148-1.png,sketch,giraffe
6543,sketch/dog/n02106662_11133-5.png,sketch,dog
8774,sketch/guitar/n03272010_6809-1.png,sketch,guitar
1932,art_painting/person/pic_407.jpg,art_painting,person
611,art_painting/elephant/pic_236.jpg,art_painting,elephant
2369,cartoon/dog/pic_366.jpg,cartoon,dog
9596,sketch/horse/n02374451_54-3.png,sketch,horse
403,art_painting/elephant/pic_027.jpg,art_painting,elephant
1715,art_painting/person/pic_124.jpg,art_painting,person
7343,sketch/elephant/n02503517_6624-6.png,sketch,elephant
8071,sketch/giraffe/n02439033_15384-2.png,sketch,giraffe
3806,cartoon/house/pic_323.jpg,cartoon,house
6627,sketch/dog/n02106662_2377-6.png,sketch,dog
6429,sketch/dog/n02103406_6688-7.png,sketch,dog
3311,cartoon/guitar/pic_079.jpg,cartoon,guitar
1955,art_painting/person/pic_445.jpg,art_painting,person
9849,sketch/person/12099.png,sketch,person
5115,photo/guitar/n03272010_10441.jpg,photo,guitar
9966,sketch/person/12215.png,sketch,person
6914,sketch/elephant/n02503517_10036-3.png,sketch,elephant
8331,sketch/guitar/7604.png,sketch,guitar
707,art_painting/giraffe/pic_081.jpg,art_painting,giraffe
7901,sketch/giraffe/n02439033_1327-3.png,sketch,giraffe
8964,sketch/horse/8509.png,sketch,horse
6948,sketch/elephant/n02503517_10193-8.png,sketch,elephant
2810,cartoon/elephant/pic_400.jpg,cartoon,elephant
4278,cartoon/person/pic_328.jpg,cartoon,person
3446,cartoon/horse/pic_077.jpg,cartoon,horse
9817,sketch/house/8867.png,sketch,house
1317,art_painting/house/pic_015.jpg,art_painting,house
2596,cartoon/elephant/pic_151.jpg,cartoon,elephant
6270,sketch/dog/n02103406_3326-9.png,sketch,dog
9531,sketch/horse/n02374451_4538-1.png,sketch,horse
5623,photo/house/pic_284.jpg,photo,house
6886,sketch/elephant/5974.png,sketch,elephant
585,art_painting/elephant/pic_208.jpg,art_painting,elephant
6046,photo/person/253_0420.jpg,photo,person
5306,photo/horse/n02374451_15440.jpg,photo,horse
7791,sketch/giraffe/n02439033_11487-2.png,sketch,giraffe
3051,cartoon/giraffe/pic_163.jpg,cartoon,giraffe
2033,art_painting/person/pic_556.jpg,art_painting,person
3208,cartoon/giraffe/pic_350.jpg,cartoon,giraffe
212,art_painting/dog/pic_228.jpg,art_painting,dog
5722,photo/person/253_0074.jpg,photo,person
4966,photo/guitar/063_0002.jpg,photo,guitar
86,art_painting/dog/pic_096.jpg,art_painting,dog
9822,sketch/house/8872.png,sketch,house
4560,photo/dog/n02106662_8511.jpg,photo,dog
7361,sketch/elephant/n02503517_6937-3.png,sketch,elephant
356,art_painting/dog/pic_390.jpg,art_painting,dog
6233,sketch/dog/n02103406_3132-1.png,sketch,dog
3328,cartoon/guitar/pic_100.jpg,cartoon,guitar
3761,cartoon/house/pic_082.jpg,cartoon,house
1348,art_painting/house/pic_049.jpg,art_painting,house
6646,sketch/dog/n02106662_24786-7.png,sketch,dog
3628,cartoon/horse/pic_280.jpg,cartoon,horse
4500,photo/dog/n02103406_3056.jpg,photo,dog
5471,photo/house/pic_117.jpg,photo,house
9119,sketch/horse/n02374451_12128-5.png,sketch,horse
6473,sketch/dog/n02103406_7708-3.png,sketch,dog
9577,sketch/horse/n02374451_4963-2.png,sketch,horse
5918,photo/person/253_0281.jpg,photo,person
6328,sketch/dog/n02103406_4068-1.png,sketch,dog
1062,art_painting/guitar/pic_153.jpg,art_painting,guitar
7459,sketch/elephant/n02503517_8137-3.png,sketch,elephant
5424,photo/house/pic_080.jpg,photo,house
6863,sketch/elephant/5950.png,sketch,elephant
3923,cartoon/house/pic_281.jpg,cartoon,house
1498,art_painting/house/pic_217.jpg,art_painting,house
5608,photo/house/pic_268.jpg,photo,house
5981,photo/person/253_0348.jpg,photo,person
846,art_painting/giraffe/pic_229.jpg,art_painting,giraffe
9808,sketch/house/8857.png,sketch,house
3266,cartoon/guitar/pic_031.jpg,cartoon,guitar
7225,sketch/elephant/n02503517_5117-6.png,sketch,elephant
6666,sketch/dog/n02106662_2740-3.png,sketch,dog
2034,art_painting/person/pic_558.jpg,art_painting,person
3713,cartoon/house/pic_016.jpg,cartoon,house
778,art_painting/giraffe/pic_143.jpg,art_painting,giraffe
6053,photo/person/253_0427.jpg,photo,person
2270,cartoon/dog/pic_245.jpg,cartoon,dog
8896,sketch/guitar/n03467517_22785-3.png,sketch,guitar
3651,cartoon/horse/pic_310.jpg,cartoon,horse
6823,sketch/dog/n02106662_25917-6.png,sketch,dog
1806,art_painting/person/pic_240.jpg,art_painting,person
9733,sketch/horse/n02374451_929-3.png,sketch,horse
8730,sketch/guitar/n03272010_6255-3.png,sketch,guitar
5302,photo/horse/n02374451_1443.jpg,photo,horse
1861,art_painting/person/pic_311.jpg,art_painting,person
2808,cartoon/elephant/pic_398.jpg,cartoon,elephant
9094,sketch/horse/n02374451_11483-6.png,sketch,horse
8819,sketch/guitar/n03272010_9557-4.png,sketch,guitar
1869,art_painting/person/pic_321.jpg,art_painting,person
7567,sketch/elephant/n02503517_9827-2.png,sketch,elephant
2382,cartoon/dog/pic_384.jpg,cartoon,dog
8655,sketch/guitar/n02676566_970-4.png,sketch,guitar
2481,cartoon/elephant/pic_050.jpg,cartoon,elephant
5063,photo/guitar/063_0110.jpg,photo,guitar
4488,photo/dog/056_0101.jpg,photo,dog
1188,art_painting/horse/pic_102.jpg,art_painting,horse
864,art_painting/giraffe/pic_248.jpg,art_painting,giraffe
4153,cartoon/person/pic_171.jpg,cartoon,person
9809,sketch/house/8858.png,sketch,house
3797,cartoon/house/pic_099.jpg,cartoon,house
308,art_painting/dog/pic_333.jpg,art_painting,dog
4263,cartoon/person/pic_308.jpg,cartoon,person
8533,sketch/guitar/n02676566_6704-1.png,sketch,guitar
2028,art_painting/person/pic_550.jpg,art_painting,person
3747,cartoon/house/pic_060.jpg,cartoon,house
814,art_painting/giraffe/pic_188.jpg,art_painting,giraffe
8164,sketch/giraffe/n02439033_2486-4.png,sketch,giraffe
7242,sketch/elephant/n02503517_5418-5.png,sketch,elephant
1558,art_painting/house/pic_292.jpg,art_painting,house
4860,photo/giraffe/084_0074.jpg,photo,giraffe
3184,cartoon/giraffe/pic_320.jpg,cartoon,giraffe
1566,art_painting/house/pic_302.jpg,art_painting,house
5905,photo/person/253_0267.jpg,photo,person
2877,cartoon/elephant/pic_482.jpg,cartoon,elephant
7183,sketch/elephant/n02503517_4221-4.png,sketch,elephant
4128,cartoon/person/pic_140.jpg,cartoon,person
2999,cartoon/giraffe/pic_242.jpg,cartoon,giraffe
1459,art_painting/house/pic_166.jpg,art_painting,house
2815,cartoon/elephant/pic_405.jpg,cartoon,elephant
2299,cartoon/dog/pic_284.jpg,cartoon,dog
9201,sketch/horse/n02374451_12847-1.png,sketch,horse
2914,cartoon/giraffe/pic_023.jpg,cartoon,giraffe
6575,sketch/dog/n02106662_18922-11.png,sketch,dog
8228,sketch/giraffe/n02439033_6552-5.png,sketch,giraffe
6067,sketch/dog/5284.png,sketch,dog
1081,art_painting/guitar/pic_176.jpg,art_painting,guitar
4235,cartoon/person/pic_276.jpg,cartoon,person
7524,sketch/elephant/n02503517_9043-2.png,sketch,elephant
4039,cartoon/person/pic_056.jpg,cartoon,person
1549,art_painting/house/pic_281.jpg,art_painting,house
7350,sketch/elephant/n02503517_4247-8.png,sketch,elephant
5263,photo/horse/105_0232.jpg,photo,horse
73,art_painting/dog/pic_081.jpg,art_painting,dog
9572,sketch/horse/n02374451_490-4.png,sketch,horse
8271,sketch/giraffe/n02439033_9261-1.png,sketch,giraffe
3679,cartoon/horse/pic_343.jpg,cartoon,horse
7127,sketch/elephant/n02503517_3037-1.png,sketch,elephant
8608,sketch/guitar/n02676566_8859-3.png,sketch,guitar
9566,sketch/horse/n02374451_4818-4.png,sketch,horse
8374,sketch/guitar/7649.png,sketch,guitar
3424,cartoon/horse/pic_052.jpg,cartoon,horse
5041,photo/guitar/n03272010_5887.jpg,photo,guitar
8916,sketch/guitar/n03467517_3203-3.png,sketch,guitar
154,art_painting/dog/pic_158.jpg,art_painting,dog
8534,sketch/guitar/n02676566_6704-2.png,sketch,guitar
3052,cartoon/giraffe/pic_164.jpg,cartoon,giraffe
5897,photo/person/253_0259.jpg,photo,person
400,art_painting/elephant/pic_024.jpg,art_painting,elephant
2702,cartoon/elephant/pic_269.jpg,cartoon,elephant
7892,sketch/giraffe/n02439033_12987-6.png,sketch,giraffe
8947,sketch/horse/8491.png,sketch,horse
9024,sketch/horse/n02374451_10098-6.png,sketch,horse
3521,cartoon/horse/pic_152.jpg,cartoon,horse
4753,photo/elephant/n02503517_6624.jpg,photo,elephant
3425,cartoon/horse/pic_053.jpg,cartoon,horse
1998,art_painting/person/pic_510.jpg,art_painting,person
1366,art_painting/house/pic_071.jpg,art_painting,house
2713,cartoon/elephant/pic_284.jpg,cartoon,elephant
5780,photo/person/253_0135.jpg,photo,person
6009,photo/person/253_0377.jpg,photo,person
5234,photo/horse/105_0156.jpg,photo,horse
3841,cartoon/house/pic_178.jpg,cartoon,house
7334,sketch/elephant/n02503517_6613-2.png,sketch,elephant
218,art_painting/dog/pic_234.jpg,art_painting,dog
1673,art_painting/person/pic_097.jpg,art_painting,person
7813,sketch/giraffe/n02439033_11627-3.png,sketch,giraffe
4166,cartoon/person/pic_188.jpg,cartoon,person
9631,sketch/horse/n02374451_7631-6.png,sketch,horse
4938,photo/giraffe/n02439033_16356.jpg,photo,giraffe
809,art_painting/giraffe/pic_180.jpg,art_painting,giraffe
425,art_painting/elephant/pic_051.jpg,art_painting,elephant
4901,photo/giraffe/n02439033_12485.jpg,photo,giraffe
2282,cartoon/dog/pic_262.jpg,cartoon,dog
6225,sketch/dog/n02103406_3056-3.png,sketch,dog
262,art_painting/dog/pic_283.jpg,art_painting,dog
8237,sketch/giraffe/n02439033_866-3.png,sketch,giraffe
4545,photo/dog/n02106662_18953.jpg,photo,dog
7464,sketch/elephant/n02503517_8205-3.png,sketch,elephant
807,art_painting/giraffe/pic_177.jpg,art_painting,giraffe
391,art_painting/elephant/pic_014.jpg,art_painting,elephant
1250,art_painting/horse/pic_168.jpg,art_painting,horse
7753,sketch/giraffe/n02439033_11059-9.png,sketch,giraffe
8362,sketch/guitar/7636.png,sketch,guitar
7526,sketch/elephant/n02503517_9043-5.png,sketch,elephant
250,art_painting/dog/pic_268.jpg,art_painting,dog
1383,art_painting/house/pic_092.jpg,art_painting,house
4870,photo/giraffe/084_0084.jpg,photo,giraffe
6942,sketch/elephant/n02503517_10193-2.png,sketch,elephant
9489,sketch/horse/n02374451_2825-10.png,sketch,horse
3400,cartoon/horse/pic_027.jpg,cartoon,horse
5366,photo/house/pic_018.jpg,photo,house
4890,photo/giraffe/n02439033_11486.jpg,photo,giraffe
2602,cartoon/elephant/pic_157.jpg,cartoon,elephant
1854,art_painting/person/pic_301.jpg,art_painting,person
625,art_painting/elephant/pic_253.jpg,art_painting,elephant
3865,cartoon/house/pic_207.jpg,cartoon,house
6756,sketch/dog/n02109525_3202-2.png,sketch,dog
5870,photo/person/253_0230.jpg,photo,person
4828,photo/giraffe/084_0049.jpg,photo,giraffe
964,art_painting/guitar/pic_050.jpg,art_painting,guitar
762,art_painting/giraffe/pic_127.jpg,art_painting,giraffe
5809,photo/person/253_0166.jpg,photo,person
420,art_painting/elephant/pic_046.jpg,art_painting,elephant
4744,photo/elephant/n02503517_5527.jpg,photo,elephant
5841,photo/person/253_0200.jpg,photo,person
4022,cartoon/person/pic_038.jpg,cartoon,person
5693,photo/person/253_0067.jpg,photo,person
1398,art_painting/house/pic_109.jpg,art_painting,house
7087,sketch/elephant/n02503517_2444-4.png,sketch,elephant
9727,sketch/horse/n02374451_925-3.png,sketch,horse
5350,photo/house/pic_001.jpg,photo,house
5691,photo/person/253_0065.jpg,photo,person
1859,art_painting/person/pic_308.jpg,art_painting,person
8090,sketch/giraffe/n02439033_14121-9.png,sketch,giraffe
5174,photo/horse/105_0058.jpg,photo,horse
2360,cartoon/dog/pic_354.jpg,cartoon,dog
8939,sketch/horse/8483.png,sketch,horse
500,art_painting/elephant/pic_118.jpg,art_painting,elephant
1175,art_painting/horse/pic_087.jpg,art_painting,horse
1475,art_painting/house/pic_189.jpg,art_painting,house
8390,sketch/guitar/7666.png,sketch,guitar
2932,cartoon/giraffe/pic_043.jpg,cartoon,giraffe
3499,cartoon/horse/pic_124.jpg,cartoon,horse
7040,sketch/elephant/n02503517_1453-6.png,sketch,elephant
980,art_painting/guitar/pic_072.jpg,art_painting,guitar
3973,cartoon/house/pic_344.jpg,cartoon,house
1343,art_painting/house/pic_044.jpg,art_painting,house
3977,cartoon/house/pic_348.jpg,cartoon,house
7147,sketch/elephant/n02503517_3108-8.png,sketch,elephant
5527,photo/house/pic_177.jpg,photo,house
3766,cartoon/house/pic_088.jpg,cartoon,house
9033,sketch/horse/n02374451_11479-4.png,sketch,horse
7032,sketch/elephant/n02503517_1415-3.png,sketch,elephant
8984,sketch/horse/8530.png,sketch,horse
1195,art_painting/horse/pic_109.jpg,art_painting,horse
8691,sketch/guitar/n03272010_3732-1.png,sketch,guitar
1237,art_painting/horse/pic_151.jpg,art_painting,horse
1041,art_painting/guitar/pic_129.jpg,art_painting,guitar
730,art_painting/giraffe/pic_041.jpg,art_painting,giraffe
5813,photo/person/253_0170.jpg,photo,person
489,art_painting/elephant/pic_107.jpg,art_painting,elephant
5097,photo/guitar/n02676566_7385.jpg,photo,guitar
4083,cartoon/person/pic_041.jpg,cartoon,person
3008,cartoon/giraffe/pic_112.jpg,cartoon,giraffe
8983,sketch/horse/8529.png,sketch,horse
4380,cartoon/person/pic_447.jpg,cartoon,person
8404,sketch/guitar/n02676566_11377-1.png,sketch,guitar
3666,cartoon/horse/pic_329.jpg,cartoon,horse
1763,art_painting/person/pic_188.jpg,art_painting,person
241,art_painting/dog/pic_258.jpg,art_painting,dog
4876,photo/giraffe/n02439033_10491.jpg,photo,giraffe
2164,cartoon/dog/pic_112.jpg,cartoon,dog
5655,photo/person/253_0027.jpg,photo,person
952,art_painting/guitar/pic_035.jpg,art_painting,guitar
3660,cartoon/horse/pic_320.jpg,cartoon,horse
9348,sketch/horse/n02374451_17043-1.png,sketch,horse
2430,cartoon/dog/pic_443.jpg,cartoon,dog
7846,sketch/giraffe/n02439033_11894-2.png,sketch,giraffe
4564,photo/dog/n02109525_11444.jpg,photo,dog
9526,sketch/horse/n02374451_388-5.png,sketch,horse
3864,cartoon/house/pic_206.jpg,cartoon,house
8274,sketch/giraffe/n02439033_9261-4.png,sketch,giraffe
8003,sketch/giraffe/n02439033_14609-4.png,sketch,giraffe
7570,sketch/elephant/n02503517_9827-5.png,sketch,elephant
1297,art_painting/horse/pic_224.jpg,art_painting,horse
1044,art_painting/guitar/pic_132.jpg,art_painting,guitar
1034,art_painting/guitar/pic_121.jpg,art_painting,guitar
1080,art_painting/guitar/pic_175.jpg,art_painting,guitar
6471,sketch/dog/n02103406_7708-10.png,sketch,dog
7122,sketch/elephant/n02503517_2993-5.png,sketch,elephant
6467,sketch/dog/n02103406_7521-5.png,sketch,dog
2785,cartoon/elephant/pic_370.jpg,cartoon,elephant
9042,sketch/horse/n02374451_10099-3.png,sketch,horse
2751,cartoon/elephant/pic_330.jpg,cartoon,elephant
5775,photo/person/253_0130.jpg,photo,person
1020,art_painting/guitar/pic_149.jpg,art_painting,guitar
429,art_painting/elephant/pic_055.jpg,art_painting,elephant
8162,sketch/giraffe/n02439033_2486-2.png,sketch,giraffe
8183,sketch/giraffe/n02439033_376-5.png,sketch,giraffe
453,art_painting/elephant/pic_080.jpg,art_painting,elephant
6925,sketch/elephant/5960.png,sketch,elephant
1818,art_painting/person/pic_255.jpg,art_painting,person
4465,photo/dog/056_0083.jpg,photo,dog
1238,art_painting/horse/pic_152.jpg,art_painting,horse
9000,sketch/horse/8547.png,sketch,horse
6690,sketch/dog/n02106662_7960-5.png,sketch,dog
3376,cartoon/horse/pic_002.jpg,cartoon,horse
8245,sketch/giraffe/n02439033_8789-5.png,sketch,giraffe
1704,art_painting/person/pic_268.jpg,art_painting,person
6108,sketch/dog/5327.png,sketch,dog
3643,cartoon/horse/pic_300.jpg,cartoon,horse
4125,cartoon/person/pic_136.jpg,cartoon,person
6986,sketch/elephant/n02503517_10528-3.png,sketch,elephant
7018,sketch/elephant/n02503517_1292-7.png,sketch,elephant
1724,art_painting/person/pic_135.jpg,art_painting,person
3438,cartoon/horse/pic_069.jpg,cartoon,horse
4220,cartoon/person/pic_255.jpg,cartoon,person
9485,sketch/horse/n02374451_276-7.png,sketch,horse
7999,sketch/giraffe/n02439033_14600-9.png,sketch,giraffe
4625,photo/elephant/064_0053.jpg,photo,elephant
4509,photo/dog/n02103406_371.jpg,photo,dog
2395,cartoon/dog/pic_399.jpg,cartoon,dog
2165,cartoon/dog/pic_113.jpg,cartoon,dog
4410,photo/dog/056_0022.jpg,photo,dog
9723,sketch/horse/n02374451_9225-7.png,sketch,horse
7304,sketch/elephant/n02503517_6396-3.png,sketch,elephant
6518,sketch/dog/n02103406_865-9.png,sketch,dog
